round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,2.0200761949539183,0.2816,2.278852551651001,0.1443,10,8.0,0.3103242269953277,7.850257760120469,False
2,2.1961314999580384,0.2354,2.2556638053894043,0.1518,10,8.0,0.4454042192711948,10.502785217447991,False
3,2.1722300356864928,0.27,2.1954478256225585,0.15,10,8.0,0.5972847300787333,10.497846668925744,False
4,2.0548817892074585,0.2918,2.1196404138565064,0.1819,10,8.0,0.8672402611878715,17.346750680890686,False
5,2.0103680936336517,0.2732,2.3976700729370117,0.1695,10,8.0,1.279634526696865,25.38462822426963,False
6,2.1320979804039,0.2802,2.3837827682495116,0.1952,10,8.0,1.6163309343389338,18.215532677909057,False
7,2.0886831427574157,0.2954,2.116644938468933,0.2022,10,8.0,2.0134483707210493,13.218863572345231,False
8,2.0762182006835936,0.2864,2.1110488403320313,0.1689,10,8.0,2.2184918761719974,20.105388464970083,False
9,2.022581264400482,0.3172,2.4340809120178224,0.1885,10,8.0,2.4591269308240884,20.115025000424176,False
10,2.2065719730377196,0.3156,2.3917860836029052,0.1936,10,8.0,2.462570486127339,23.959061893131626,False
11,2.3638834797859194,0.2526,2.1807289447784424,0.2029,10,8.0,2.651675877953134,42.76600391710444,False
12,2.292416839694977,0.258,2.5142389430999756,0.1809,10,8.0,3.493755845522678,78.30116348682155,False
13,2.392713644695282,0.276,2.4013383155822754,0.2102,10,8.0,4.179368690680538,52.61499358794233,False
14,2.1509777265548706,0.33,2.7468224433898927,0.2093,10,8.0,5.743583792295435,55.06647131349932,False
15,2.4399836728096007,0.2374,2.4633222549438476,0.1835,10,8.0,5.958061331571454,63.41250139598039,False
16,2.2151054443359377,0.2986,3.0892129005432127,0.1876,10,8.0,7.390313847992768,97.18071599116513,False
17,2.989817164707184,0.2504,4.3251574493408205,0.2069,10,8.0,9.691933913822611,102.85460297481768,False
18,3.02247398815155,0.2438,4.774705171203613,0.1047,10,8.0,11.604572072390251,152.46081428803,False
19,2.2761467461584544,0.3258,3.401375146484375,0.1816,10,8.0,13.353849536942366,68.66761130474788,False
