round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,2.108544816017151,0.274,2.3030568897247314,0.1381,10,8.0,0.3411912120568502,7.650154101705039,False
2,2.0188987809181214,0.3344,2.2926592105865478,0.1808,10,8.0,0.5604549130143294,8.090169884181847,False
3,2.0495449528694154,0.3134,2.1601074916839598,0.1982,10,8.0,0.6807865088434844,11.285909864299846,False
4,1.909267094707489,0.3496,2.3524682470321654,0.2089,10,8.0,0.8655800337116158,11.21813925734141,False
5,2.301525276374817,0.2774,2.4097813262939454,0.1702,10,8.0,0.8433461828724094,16.909423402584522,False
6,1.9258641752243042,0.353,2.0648513484954836,0.2279,10,8.0,1.0326678137556482,11.268005966929241,False
7,1.9741649635314942,0.3254,2.1547736740112304,0.2458,10,8.0,1.1704983108835005,12.505123274195068,False
8,1.8692237265586853,0.3666,2.195692572021484,0.2355,10,8.0,1.3941962755429502,11.374049825808179,False
9,2.135694233608246,0.3236,2.896421857070923,0.2438,10,8.0,1.5835829032312674,23.102787637196677,False
10,2.3244106954574586,0.3142,2.1515613082885743,0.2426,10,8.0,1.8736406271131463,29.71164263790576,False
11,2.3054450895309446,0.2922,2.2331512828826905,0.2343,10,8.0,2.282321794017922,47.67042149880063,False
12,2.3526157585144043,0.273,2.2391121795654296,0.2346,10,8.0,2.652816203470465,39.16406962562345,False
13,2.3023493721961974,0.293,2.2091329517364504,0.2633,10,8.0,4.39123177322212,57.538859191254346,False
14,2.1555428926467894,0.3042,2.0235784858703614,0.2737,10,8.0,5.1720762666768865,26.76234743133413,False
15,2.1502320187568666,0.3334,2.021056675338745,0.2794,10,8.0,5.637142834689878,52.6271023795376,False
16,2.156664131259918,0.3228,2.507334262084961,0.2165,10,8.0,6.673001852921348,56.14143262603015,False
17,2.0942580362915995,0.348,2.359546463012695,0.2279,10,8.0,7.410957295335809,61.414065955966564,False
18,2.361146938610077,0.2892,2.510579775238037,0.2112,10,8.0,8.613899377814938,43.11953776276959,False
19,2.3860840744018557,0.2862,3.172459729003906,0.1728,10,8.0,8.65041109776711,76.55523650947023,False
20,2.44789610748291,0.2938,3.0363685302734376,0.2143,10,8.0,8.466575412587499,68.59514781741191,False
21,2.8999482271194457,0.2076,4.2096958854675295,0.1104,10,8.0,8.747790323209445,104.14638715478608,False
22,2.598862459754944,0.2622,3.1084931648254392,0.1266,10,8.0,10.081078068127118,173.5582712402545,False
23,2.727655847644806,0.2576,3.284757088851929,0.162,10,8.0,10.410431101833192,148.22217116576581,False
24,3.186002066421509,0.2508,3.7479492935180665,0.1125,10,8.0,13.896884263785873,274.92874001175716,False
25,2.822870882987976,0.221,5.333165098571778,0.1164,10,8.0,16.390046977275667,148.36315539355567,False
26,2.6236462456703187,0.255,7.077118946838379,0.1124,10,8.0,18.85111434432029,156.7384386479811,False
27,2.9924107637405397,0.2092,6.2901552925109865,0.1385,10,8.0,20.19317285434756,275.4744983461991,False
28,2.6018153245925904,0.2566,7.839340979385376,0.1294,10,8.0,22.28989806692065,239.3072615971186,False
29,3.3804715885162353,0.237,3.1444255138397215,0.1078,10,8.0,31.113062083335276,719.055952543252,False
30,3.792163500213623,0.2064,4.064519634246826,0.1023,10,8.0,37.984118227162455,565.0844747679638,False
31,4.3394775461196895,0.1866,3.435388032913208,0.1007,10,8.0,43.780676787678374,541.8547818937526,False
