round,train_loss,train_accuracy,test_loss,test_accuracy,test_perplexity,num_fit_clients,num_fit_examples,tau_eff,mean_local_normalizer,mean_local_steps,run_completed
1,3.7232003144264647,0.17269761233872163,nan,nan,nan,10,40458,1943.431082565482,1179.9383166129683,126.9,False
2,3.1666011564214593,0.1867333950474427,nan,nan,nan,10,34568,1586.4020299119036,997.2991889162238,108.6,False
3,3.137374604622145,0.18681953746607363,nan,nan,nan,10,96901,4449.845126816334,2945.227796843889,303.5,False
4,3.116645994572814,0.18914541341011928,nan,nan,nan,10,38896,2739.3678504968025,1131.5770678870515,122.1,False
5,3.1157651095800993,0.18637501771625645,nan,nan,nan,10,42334,1804.2746974695915,1239.0811619339788,132.9,False
6,3.069110497375808,0.1954908074162016,nan,nan,nan,10,90127,5079.91198938662,2732.868427807629,282.2,False
7,3.0372460721091814,0.20704175439327926,nan,nan,nan,10,47971,2236.2074329509683,1413.0975411220943,150.3,False
8,2.9696039028613446,0.22376382861683272,nan,nan,nan,10,49083,2288.4020824509125,1448.7420887329818,153.8,False
9,2.9526279328607075,0.22752642814887214,nan,nan,nan,10,38879,2032.8582450154497,1130.904348303382,122.0,False
10,2.909339254534905,0.23293687484239725,2.905238304612663,0.23821744342874268,18.269596862697384,10,47588,2262.6529118246935,1401.1645775935372,149.1,False
11,2.8700132951113657,0.23746498247026654,nan,nan,nan,10,59613,2810.269983646984,1778.7252631877714,186.8,False
12,2.8136297770205063,0.25002009069513803,nan,nan,nan,10,87105,5291.138756032099,2638.0107114416046,272.7,False
13,2.7757425684698265,0.2584103169641824,nan,nan,nan,10,43191,2066.3189015536636,1263.5016042810046,135.3,False
14,2.757079424671439,0.26402480655439237,nan,nan,nan,10,35152,1371.4332428663404,1013.5412726168688,110.3,False
15,2.724045281262198,0.26477220675804236,nan,nan,nan,10,56762,2554.1696373986238,1690.1890696566988,178.0,False
16,2.713377128353425,0.2645934581990935,nan,nan,nan,10,36626,1880.0899985212657,1062.551453625496,115.1,False
17,2.6911530736996494,0.26836346134790423,nan,nan,nan,10,70643,2873.064831046043,2122.1023396870773,221.2,False
