round,train_loss,train_accuracy,test_loss,test_accuracy,test_perplexity,num_fit_clients,num_fit_examples,run_completed
1,3.5702791284344353,0.18474766705159015,nan,nan,nan,10,64082,False
2,3.150980215311456,0.18757453130803667,nan,nan,nan,10,51153,False
3,3.1169158112086155,0.18788689598875308,nan,nan,nan,10,44101,False
4,3.1400801797448166,0.18959635067274888,nan,nan,nan,10,52174,False
5,3.1449733210258475,0.18768111169652266,nan,nan,nan,10,60736,False
6,3.076761963314082,0.19367896058837347,nan,nan,nan,10,55339,False
7,3.027966621026665,0.19940814010053512,nan,nan,nan,10,49336,False
8,3.00123994606965,0.21034704117593114,nan,nan,nan,10,76331,False
9,2.915150218228243,0.22332645790361896,nan,nan,nan,10,37331,False
10,2.891595067121775,0.22669541241346944,2.8459769930954586,0.23801138918027873,17.218372685227585,10,68184,False
11,2.790439395931475,0.24436537822571713,nan,nan,nan,10,72232,False
12,2.792184242132417,0.2444945509207065,nan,nan,nan,10,26610,False
13,2.782510959772357,0.24473099723567102,nan,nan,nan,10,62583,False
14,2.726348995768778,0.2506505718471867,nan,nan,nan,10,45729,False
15,2.6920916792224188,0.25843829897028125,nan,nan,nan,10,42633,False
16,2.661190230304062,0.2657699649309717,nan,nan,nan,10,67581,False
17,2.639067673139895,0.27392578125,nan,nan,nan,10,61440,False
18,2.6017750610444486,0.2782735251312056,nan,nan,nan,10,68023,False
19,2.573291706031727,0.2816724793291273,nan,nan,nan,10,51038,False
20,2.5300009307586606,0.29420645784684757,2.552788098784163,0.2992095009740746,12.842861077419885,10,49676,False
21,2.5241068245355183,0.295343544633953,nan,nan,nan,10,39107,False
22,2.52171203119453,0.2999280748022057,nan,nan,nan,10,83420,False
23,2.501225749472513,0.3018412001897533,nan,nan,nan,10,67456,False
24,2.4713656304304052,0.31013321359077983,nan,nan,nan,10,53448,False
25,2.45125343624726,0.31596808217921674,nan,nan,nan,10,32709,False
26,2.444483799517918,0.31882309263040653,nan,nan,nan,10,64644,False
27,2.411088027624487,0.32615851463251555,nan,nan,nan,10,38886,False
28,2.4147214992925368,0.32519456429694743,nan,nan,nan,10,49598,False
29,2.3658954201364684,0.34012004074777674,nan,nan,nan,10,72642,False
30,2.313876324583735,0.35169852341697616,2.3540760918426744,0.3496740596433388,10.528397094798876,10,55195,False
31,2.3445403854363014,0.3447423960273122,nan,nan,nan,10,80550,False
32,2.3107219826629084,0.34998798943069903,nan,nan,nan,10,54119,False
33,2.3007466848394795,0.3589507794710107,nan,nan,nan,10,45672,False
34,2.3010391605344305,0.3586047932461329,nan,nan,nan,10,36009,False
35,2.29307569774916,0.36350218754941754,nan,nan,nan,10,37942,False
36,2.2507851979209863,0.3672935165019266,nan,nan,nan,10,47752,False
37,2.2190503535927744,0.3788317415654338,nan,nan,nan,10,36961,False
38,2.2338647865000847,0.3788571332898019,nan,nan,nan,10,59727,False
39,2.2226820620549255,0.3770553257497415,nan,nan,nan,10,77360,False
40,2.222696840265787,0.3798373926010083,2.189616056819843,0.39448149258204707,8.931783159056284,10,56332,False
41,2.2214672789382934,0.38298666666666664,nan,nan,nan,10,37500,False
42,2.194780142010226,0.3934843565525384,nan,nan,nan,10,54208,False
43,2.1700432069001407,0.3932161479331291,nan,nan,nan,10,55809,False
44,2.1341762149918644,0.39961262105592005,nan,nan,nan,10,80025,False
45,2.136307619748637,0.39837800544136215,nan,nan,nan,10,76819,False
46,2.135739207846921,0.39924681260870193,nan,nan,nan,10,69571,False
47,2.111165797780467,0.40517859133398093,nan,nan,nan,10,62797,False
48,2.115607414278908,0.40534828156588865,nan,nan,nan,10,54410,False
49,2.102353879358888,0.4055068532958783,nan,nan,nan,10,41294,False
50,2.066263567113682,0.4159066151184399,2.0557312145416087,0.425183575603177,7.812548433580512,10,93634,False
51,2.0557739333503684,0.4150741476838404,nan,nan,nan,10,39246,False
52,2.078764439729072,0.41652064396013583,nan,nan,nan,10,36524,False
53,2.0169807752328777,0.4329947096816072,nan,nan,nan,10,61622,False
54,2.0500630387556362,0.42122256881738085,nan,nan,nan,10,54819,False
55,2.0432290439244887,0.42030128993192534,nan,nan,nan,10,54499,False
56,1.991230514318417,0.43320034890538084,nan,nan,nan,10,69933,False
57,1.9978395977833234,0.42971243280143356,nan,nan,nan,10,58595,False
58,2.0115411103828524,0.42775866631383963,nan,nan,nan,10,52906,False
59,2.023585627411109,0.4243264420468929,nan,nan,nan,10,33182,False
60,1.986398948000464,0.4338759567998322,1.9670170512171534,0.440019481492582,7.149318598226526,10,76296,False
61,1.9486044524419772,0.44033336763041464,nan,nan,nan,10,48595,False
62,1.9683099955727499,0.4354911853069554,nan,nan,nan,10,35282,False
63,1.933094854487186,0.44456180782280263,nan,nan,nan,10,31242,False
64,1.978298325934224,0.4374274355275657,nan,nan,nan,10,56846,False
65,1.9838437304570153,0.43686943504498743,nan,nan,nan,10,64129,False
66,1.9461568184126672,0.44155181214905564,nan,nan,nan,10,45057,False
67,1.955458067921881,0.44204177033853576,nan,nan,nan,10,66315,False
68,1.9397012245920906,0.44056083020534337,nan,nan,nan,10,45290,False
69,1.9497163148940488,0.44115062965734925,nan,nan,nan,10,61462,False
70,1.9481921993882034,0.44003534609720174,1.8987847663965716,0.4552487636745092,6.677774453524928,10,84875,False
71,1.9095946651033542,0.4504553698539306,nan,nan,nan,10,51277,False
72,1.9336839360817681,0.44392247280063407,nan,nan,nan,10,69395,False
73,1.8938610617964795,0.45145784081954293,nan,nan,nan,10,38070,False
74,1.8983258714246243,0.4515579954609581,nan,nan,nan,10,65212,False
75,1.8724166432546956,0.45890344805382954,nan,nan,nan,10,93183,False
76,1.8507221046945737,0.46381562970518236,nan,nan,nan,10,41178,False
77,1.8978059304494792,0.4536144270992756,nan,nan,nan,10,78408,False
78,1.8662452671429286,0.45615448406586895,nan,nan,nan,10,42205,False
79,1.8862116373919313,0.4546462903623367,nan,nan,nan,10,64912,False
80,1.8540344435259075,0.4651104592155936,1.8331910522020187,0.47133972725910384,6.253811089315684,10,71927,False
81,1.879106123583588,0.4567822539520653,nan,nan,nan,10,15688,False
82,1.8414137894849034,0.4643161958951433,nan,nan,nan,10,49210,False
83,1.8575725676065786,0.46381426202321724,nan,nan,nan,10,45225,False
84,1.8534989095281973,0.46132689717108216,nan,nan,nan,10,53448,False
85,1.8077555340796396,0.47684320779634776,nan,nan,nan,10,43918,False
86,1.8632995202325462,0.46011879507848963,nan,nan,nan,10,65996,False
87,1.8588973871227903,0.46037710970464135,nan,nan,nan,10,60672,False
88,1.8568506648346004,0.46361484169303274,nan,nan,nan,10,45197,False
89,1.8586481416934142,0.46402292721940813,nan,nan,nan,10,75020,False
90,1.81644747274894,0.4709397907278108,1.7977305639456473,0.48064963284879364,6.035933743433359,10,51703,False
91,1.812021246651076,0.4739270183399508,nan,nan,nan,10,52890,False
92,1.7845544098888615,0.4758039412877427,nan,nan,nan,10,41763,False
93,1.8042910931740233,0.4751939095672671,nan,nan,nan,10,62787,False
94,1.8226987000652868,0.46849002849002847,nan,nan,nan,10,43875,False
95,1.793424923322378,0.47426612384829653,nan,nan,nan,10,46670,False
96,1.8100999030421083,0.4731421013474415,nan,nan,nan,10,60485,False
97,1.763564128620889,0.4863002305078301,nan,nan,nan,10,42081,False
98,1.7936200412496777,0.4794723075173433,nan,nan,nan,10,17586,False
99,1.8170864414051235,0.47414635880481343,nan,nan,nan,10,56259,False
100,1.7859641958927976,0.47842873929830454,1.7598826996697383,0.48870448074329387,5.811755633562767,10,77441,False
101,1.7582159102697017,0.48573818923370543,nan,nan,nan,10,38249,False
102,1.7821886294518028,0.48436694044359796,nan,nan,nan,10,50406,False
103,1.750869125260788,0.4888079187238891,nan,nan,nan,10,84256,False
104,1.7659281572185694,0.48534721535265607,nan,nan,nan,10,80872,False
105,1.7602728778906385,0.48567443995268944,nan,nan,nan,10,56647,False
106,1.792587672055894,0.47743437006656575,nan,nan,nan,10,61443,False
107,1.7761179154805138,0.48488443150364857,nan,nan,nan,10,83457,False
108,1.7332016094111145,0.4929932434847889,nan,nan,nan,10,55946,False
109,1.7456911502366073,0.4891920345854893,nan,nan,nan,10,44643,False
110,1.7657012387777313,0.48667093440636505,1.7245972863241201,0.49623482691443127,5.610261245771821,10,87478,False
111,1.7745583666178821,0.48334211107524505,nan,nan,nan,10,58861,False
112,1.762809646422499,0.4852979336529138,nan,nan,nan,10,73221,False
113,1.7345230199794832,0.49389807525707186,nan,nan,nan,10,53098,False
114,1.7196053974976138,0.4963130042508892,nan,nan,nan,10,57635,False
115,1.751029405981929,0.48803428114899955,nan,nan,nan,10,27537,False
116,1.7316070244681327,0.49058255696486697,nan,nan,nan,10,44545,False
117,1.7108701161367224,0.49890784982935155,nan,nan,nan,10,43950,False
118,1.6773327216356264,0.5050879011614378,nan,nan,nan,10,47269,False
119,1.719250835914155,0.4976867513943495,nan,nan,nan,10,54685,False
