round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,2.353963648033142,0.1194,2.254443547439575,0.1525,10,8.0,0.32677392318496734,6.567330995563916,False
2,2.206011615562439,0.1676,2.1145936367034914,0.2145,10,8.0,0.5565485676982063,6.363531889054548,False
3,2.1507243077278138,0.2072,2.121209328460693,0.1987,10,8.0,0.6522554391307391,11.29975705567864,False
4,2.1194437561035158,0.2084,2.0647825910568236,0.238,10,8.0,0.6907127106379801,14.33934648482664,False
5,2.1112831087112425,0.217,2.120333984375,0.2462,10,8.0,0.9795090316107267,15.144769534279177,False
6,2.112098640632629,0.2144,2.0892996353149416,0.2078,10,8.0,1.0536345218141754,19.84707820106524,False
7,2.0643808539390562,0.238,2.491001638793945,0.2485,10,8.0,1.6254231496588651,23.722849762811514,False
8,1.9929491046905519,0.2526,2.0035729793548582,0.2919,10,8.0,1.9728128321868434,16.778359006028776,False
9,1.931837602329254,0.2746,1.8709983909606933,0.2902,10,8.0,2.2526746641799034,13.709991482074212,False
10,1.930147396850586,0.2666,1.8522352821350099,0.3159,10,8.0,2.5246441397019486,19.10973922396115,False
11,1.9450983494758607,0.2754,2.105936488723755,0.2933,10,8.0,2.6318656481084832,22.252094967169064,False
12,1.96294871673584,0.2678,2.158205129623413,0.2803,10,8.0,3.393356953525639,34.87552996875306,False
13,1.936626619052887,0.2846,2.4554305641174317,0.2114,10,8.0,3.39424225156167,37.351836486591935,False
14,2.066595974636078,0.2528,2.1592099218368532,0.222,10,8.0,3.4564900943689048,62.419772992840265,False
15,2.0820154770851134,0.232,2.6714301139831544,0.1374,10,8.0,3.8611270521609615,77.318327263527,False
16,2.2789159245491026,0.1904,3.5758429481506346,0.1034,10,8.0,5.16293528294169,88.19014486728007,False
17,2.494858099746704,0.1284,2.2898152282714843,0.1449,10,8.0,6.819633829003839,153.2396511302048,False
18,2.4499581067085265,0.176,5.1909156356811526,0.1406,10,8.0,8.845246817397781,139.44687868012963,False
19,2.173088552284241,0.2368,2.6346892524719236,0.1766,10,8.0,10.192904338618957,72.788694072281,False
20,2.1297524146080016,0.2654,3.966512085723877,0.1583,10,8.0,11.254391091818373,112.23196533763799,False
21,2.3531303273200987,0.2428,18.36510107421875,0.1406,10,8.0,14.78876695557095,326.1447918463583,False
22,2.6652155752182005,0.1932,3.8971337646484376,0.1907,10,8.0,18.288537395543003,131.02407830590008,False
23,2.6265229618072508,0.2158,9.17795591430664,0.1125,10,8.0,20.482848674452423,343.00561072922613,False
24,2.7624869619369505,0.152,6.380892162322998,0.077,10,8.0,24.654432906192515,326.2649508881,False
25,2.7251131729125975,0.1352,8.828521589660644,0.1316,10,8.0,29.24830063209856,126.68318714564482,False
26,2.835923544692993,0.1568,39.40437881469727,0.1,10,8.0,38.44618303758516,414.19883164266,False
27,3.179569637107849,0.1478,4.137689653015137,0.1058,10,8.0,40.76004189140356,522.9115807440719,False
28,3.2336002702713014,0.1338,4.033036701202392,0.1271,10,8.0,44.22644392372315,412.04683740028423,False
29,4.021540625190735,0.142,4.761241104125976,0.1051,10,8.0,45.39268298240873,905.4996472631241,False
30,3.9113507621765136,0.141,6.084939226531983,0.0981,10,8.0,49.430668775185794,899.5500066101024,False
31,5.117727329826355,0.1222,4.360407990264893,0.1,10,8.0,55.34040153830811,1194.5575073842158,False
32,6.372084038734436,0.1398,4.974034024047851,0.1,10,8.0,129.38698587804686,2126.5356822928343,False
