round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,num_fit_examples,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,4.058059701317559,0.04238980187375211,nan,nan,20,6511,10.7,0.10818947515799529,3.1099384526948137,False
2,3.8412630590166192,0.054259876249405044,nan,nan,20,6303,10.45,0.18868161304716025,3.808569722133894,False
3,3.756505811963933,0.05724116359086644,nan,nan,20,6394,10.5,0.20594267597633234,3.0442098525952606,False
4,3.7671829133650623,0.0555112458127293,nan,nan,20,6269,10.2,0.2048272913872029,3.4854774128461705,False
5,3.776605346527711,0.055634134842055635,nan,nan,20,6363,10.4,0.23015729917029942,3.73532456413622,False
6,3.771119912346531,0.0599850411368736,nan,nan,20,6685,11.0,0.21869418100497834,3.5307892698128924,False
7,3.8221583884150676,0.05843018627607069,nan,nan,20,6281,10.25,0.2412744004389033,6.985307517226791,False
8,3.770292640085981,0.05570204350692155,nan,nan,20,6068,9.9,0.24547076255310743,4.261324075256535,False
9,3.795133579012218,0.05596953137936744,nan,nan,20,6039,9.9,0.2314936132595329,4.815942968619305,False
10,3.8707802521684593,0.052401063663381826,3.851258076928348,0.04954294097731633,20,6393,10.4,0.22754915562845268,7.439024991421372,False
11,3.875169481585423,0.04565972222222222,nan,nan,20,5760,9.55,0.28605272344136307,7.741616131666544,False
12,3.8332780951548906,0.0504070131496556,nan,nan,20,6388,10.55,0.3130519432780971,7.552453860068671,False
13,3.820396924093599,0.054075235109717866,nan,nan,20,6380,10.4,0.40601904401024047,8.415850112375118,False
14,3.778114042090961,0.05400856793145655,nan,nan,20,6536,10.7,0.4887252402921871,7.724517587549276,False
15,3.9363413644036718,0.06747905559786747,nan,nan,20,6565,10.8,0.37553327054842417,14.025475982215411,False
16,3.8671882906484365,0.050431621990004546,nan,nan,20,6603,10.8,0.6762858021032773,31.037304705501917,False
17,3.7851865739535704,0.05068755996162456,nan,nan,20,6254,10.3,0.748517752246798,6.699134223819063,False
18,3.774296448187093,0.07005598426388258,nan,nan,20,6609,10.75,0.9659321079560363,9.67775388089873,False
19,3.7862789482778583,0.046475600309837335,nan,nan,20,6455,10.6,1.0469913282084569,12.08302945379228,False
20,3.8072000977903433,0.042288948278572554,3.7739684169279806,0.03989391716510552,20,6361,10.45,1.2774468871296938,14.931055420156937,False
21,3.941767508308277,0.04103242885506287,nan,nan,20,6044,9.95,1.2089116359504415,38.142745775903435,False
22,3.910729977957165,0.03465648854961832,nan,nan,20,6550,10.7,1.1277897065477347,26.994674173651656,False
23,3.8460529337846006,0.05750421585160202,nan,nan,20,5930,9.75,1.1787827284232253,9.55532961691505,False
24,3.8282621529714187,0.05649717514124294,nan,nan,20,5841,9.6,1.27862965062328,8.236263542601339,False
25,4.627263412838961,0.05396578538102644,nan,nan,20,6430,10.55,2.0746819437333888,69.68812344169024,False
26,4.227219691979631,0.05394756781330504,nan,nan,20,6599,10.8,1.0513097735274763,72.58065759067945,False
27,4.036731839922961,0.04549703957619196,nan,nan,20,6418,10.5,1.2011744283021768,16.321535591856662,False
28,3.8902176810286315,0.057874605022451356,nan,nan,20,6013,9.95,1.3707737008599237,29.76932592351445,False
29,3.8817938082669725,0.054455445544554455,nan,nan,20,6262,10.2,1.5037793270646227,26.418889441737058,False
30,3.7883242128653434,0.0581357583631049,3.7434075921857994,0.05907911070985216,20,6158,10.15,1.724110159506461,20.597404477933733,False
31,3.785418251962752,0.053734207580361425,nan,nan,20,6253,10.3,1.948490375047968,25.778820074517387,False
32,4.338921724903083,0.05074424898511502,nan,nan,20,5912,9.75,2.0359547058138294,40.64691840858725,False
33,5.811879102005138,0.05044328951391012,nan,nan,20,6542,10.7,2.0886806921153696,52.79672620577247,False
34,4.285143363869285,0.05191383852471718,nan,nan,20,6453,10.65,2.3160475846555477,63.53262893167672,False
35,4.170935204271445,0.04030833467159146,nan,nan,20,6227,10.3,2.8442878333499624,55.49188137464115,False
36,3.9549155961523317,0.05719292655727258,nan,nan,20,6277,10.3,3.039101339155163,16.80358987045199,False
37,4.3306485354140944,0.04720679516497876,nan,nan,20,6122,10.05,3.151531000213579,40.804689585838005,False
38,5.273870985012727,0.051703346397347,nan,nan,20,6634,10.75,4.068556712007108,68.15561167167536,False
39,4032.3444526061257,0.039355385920271414,nan,nan,20,5895,9.75,200.31401353617514,5047.171707017306,False
40,952.5600531885556,0.034388314059646985,4.295384980528797,0.04954294097731633,20,6572,10.8,266.0136529119178,4825.831311675728,False
41,1.1490145599031458e+24,0.046785594076068665,nan,nan,20,5942,9.8,3.7045425069309055e+21,9.261356549637185e+22,False
42,nan,0.03941513032422123,nan,nan,20,6292,10.35,nan,nan,False
43,nan,0.03132453490221021,nan,nan,20,6289,10.35,nan,nan,False
44,nan,0.03378921962992759,nan,nan,20,6215,10.2,nan,nan,False
45,nan,0.031482291211193704,nan,nan,20,6861,11.25,nan,nan,False
46,nan,0.033444285940719604,nan,nan,20,6309,10.3,nan,nan,False
47,nan,0.03331650681474003,nan,nan,20,5943,9.7,nan,nan,False
48,nan,0.03336480956877558,nan,nan,20,6354,10.35,nan,nan,False
49,nan,0.03612992878235192,nan,nan,20,5757,9.45,nan,nan,False
50,nan,0.03225301393455456,nan,0.029454914795169845,20,6387,10.4,nan,nan,False
51,nan,0.031528662420382166,nan,nan,20,6280,10.25,nan,nan,False
52,nan,0.02913806254767353,nan,nan,20,6555,10.6,nan,nan,False
53,nan,0.03249630723781388,nan,nan,20,6093,10.0,nan,nan,False
54,nan,0.03241390057659342,nan,nan,20,6417,10.55,nan,nan,False
55,nan,0.030483271375464683,nan,nan,20,6725,11.05,nan,nan,False
56,nan,0.02854851643945469,nan,nan,20,6235,10.2,nan,nan,False
57,nan,0.030590887135726937,nan,nan,20,6211,10.1,nan,nan,False
58,nan,0.0314859437751004,nan,nan,20,6225,10.15,nan,nan,False
59,nan,0.03390946502057613,nan,nan,20,6075,9.95,nan,nan,False
60,nan,0.029825374748879616,nan,0.029454914795169845,20,6471,10.65,nan,nan,False
61,nan,0.029966703662597113,nan,nan,20,6307,10.35,nan,nan,False
62,nan,0.030806451612903227,nan,nan,20,6200,10.1,nan,nan,False
63,nan,0.031572267174361415,nan,nan,20,6303,10.25,nan,nan,False
64,nan,0.031204992798847815,nan,nan,20,6249,10.25,nan,nan,False
65,nan,0.03186968838526912,nan,nan,20,5648,9.35,nan,nan,False
66,nan,0.03542364767831498,nan,nan,20,6267,10.25,nan,nan,False
67,nan,0.031848158275695676,nan,nan,20,6217,10.2,nan,nan,False
68,nan,0.03093905472636816,nan,nan,20,6432,10.5,nan,nan,False
69,nan,0.031501023783272956,nan,nan,20,6349,10.4,nan,nan,False
70,nan,0.03244605449677115,nan,0.029454914795169845,20,6349,10.4,nan,nan,False
71,nan,0.03003734372463062,nan,nan,20,6159,10.15,nan,nan,False
72,nan,0.031138652207591013,nan,nan,20,6455,10.55,nan,nan,False
73,nan,0.03165445189458912,nan,nan,20,6413,10.6,nan,nan,False
74,nan,0.032096896290688876,nan,nan,20,6605,10.8,nan,nan,False
75,nan,0.033218220687386946,nan,nan,20,6081,10.0,nan,nan,False
76,nan,0.031646586345381526,nan,nan,20,6225,10.2,nan,nan,False
77,nan,0.033101045296167246,nan,nan,20,6314,10.3,nan,nan,False
78,nan,0.030184548013762903,nan,nan,20,6394,10.5,nan,nan,False
79,nan,0.03251102760986767,nan,nan,20,6121,10.05,nan,nan,False
80,nan,0.031710079275198186,nan,0.029454914795169845,20,6181,10.15,nan,nan,False
