round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,num_fit_examples,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,4.085221856195222,0.038050314465408804,nan,nan,20,6360,10.35,0.09241354636176688,2.7055315396518496,False
2,3.8599270612999965,0.06651108518086347,nan,nan,20,5999,9.9,0.2055098422087802,3.84756308796059,False
3,3.7749123328840444,0.059906345874374295,nan,nan,20,6193,10.15,0.19414195977046242,3.6253714836641047,False
4,3.8040270271821344,0.060342045821232655,nan,nan,20,6198,10.15,0.22320019189121476,3.6870536684786637,False
5,3.808174661484966,0.053602672180690314,nan,nan,20,6287,10.35,0.21751423674733764,4.207927080461299,False
6,3.8249602689747677,0.05183865219504293,nan,nan,20,6173,10.05,0.23296650621520237,4.87058888820388,False
7,3.773755546546273,0.04923413566739606,nan,nan,20,6398,10.5,0.26373218091993933,3.4012128691714403,False
8,3.7927659091336343,0.050922978994271166,nan,nan,20,6284,10.2,0.22970583314566007,4.645620574061317,False
9,3.8263444091585472,0.05194375516956162,nan,nan,20,6045,9.9,0.24987455713706563,4.462462266448437,False
10,3.8063103651107215,0.053238283027453356,3.7646886735209466,0.05907911070985216,20,6593,10.85,0.2932397037117642,6.568046219670426,False
11,3.7696574553681326,0.061933759096985,nan,nan,20,6733,11.0,0.30896011135434287,4.833804551492056,False
12,3.8305086130790666,0.04593818611720993,nan,nan,20,5921,9.65,0.33374475031153716,7.041241043826477,False
13,3.7650829682029374,0.05410067429825937,nan,nan,20,6377,10.4,0.41661061731906085,6.811797443250472,False
14,3.7884716903286546,0.057746478873239436,nan,nan,20,6390,10.45,0.4776949073255404,7.570923102965688,False
15,3.811101576781122,0.05340330297885476,nan,nan,20,6479,10.6,0.5190585212028532,8.200441195440195,False
16,3.842419358854067,0.05014653207424292,nan,nan,20,6142,10.25,0.5087289254431658,9.686306588533323,False
17,3.8570005994290733,0.048857762214440555,nan,nan,20,5997,9.8,0.43220231911235146,15.178569675582096,False
18,3.847854834303841,0.04856726566294318,nan,nan,20,6177,10.1,0.3702109984218468,9.128606038783033,False
19,3.870300561623598,0.05855644277438547,nan,nan,20,6387,10.55,0.4239561797315779,8.911286346692163,False
20,3.80235120597591,0.051991150442477874,3.7577925193068973,0.05907911070985216,20,6328,10.45,0.4723460345247922,7.714578151645904,False
21,3.8282054649041513,0.056192295447309776,nan,nan,20,6282,10.25,0.5367541038055115,11.137097107892714,False
22,3.8045018469035687,0.05181787291879035,nan,nan,20,5886,9.6,0.5538709255350335,10.09460318988775,False
23,3.838132262907887,0.058609794628751974,nan,nan,20,6330,10.35,0.5431209108369026,7.855774879974409,False
24,4.194600340772848,0.0564312736443884,nan,nan,20,6344,10.4,0.610905084672493,19.132222426063343,False
25,3.873970416186804,0.05090733900754778,nan,nan,20,6227,10.2,0.627429270391793,11.760147405435907,False
26,3.809327225382483,0.05696594427244582,nan,nan,20,6460,10.55,0.6689056976543418,16.0960972063135,False
27,3.7847919267047403,0.05037707390648567,nan,nan,20,6630,10.8,0.677972427258763,14.314502838797775,False
28,5.8840285735992754,0.04947683109118087,nan,nan,20,6690,10.85,0.8248193958891288,29.68992419307299,False
29,3.902737913494405,0.03342113928218637,nan,nan,20,6074,9.95,0.918265629330492,17.83470169231851,False
30,3.9346299351638945,0.04444801026957638,3.8497228060359543,0.05907911070985216,20,6232,10.2,1.0435928365499667,43.88584866224453,False
31,3.876188942876871,0.051713096381684275,nan,nan,20,6246,10.25,1.2314122103509457,35.59630054925458,False
32,3.8290274177026578,0.053726169844020795,nan,nan,20,6347,10.35,1.2102522137289433,37.154087253584706,False
33,3.765351357382216,0.05299145299145299,nan,nan,20,6435,10.55,1.3031345767493754,13.47352777217306,False
34,3.78220143364612,0.0620815581253804,nan,nan,20,6572,10.75,1.3859151605379718,18.77631050358989,False
35,4.065060762473264,0.058022118929315594,nan,nan,20,6239,10.25,1.5873156338461354,28.83259923829982,False
36,3.825975291737469,0.056851311953352766,nan,nan,20,6174,10.15,1.6444115310699512,42.39752819289707,False
37,3.8679952752818973,0.05658504301786896,nan,nan,20,6044,9.9,2.1440289644270116,48.49330544470898,False
38,1303.3852012898694,0.04269141531322506,nan,nan,20,6465,10.6,138.96608241050612,3578.0399085007352,False
39,4.770339458686246,0.0401454085664612,nan,nan,20,6327,10.45,156.9326395460138,463.4600366754665,False
40,3.8492479153672425,0.051893876188887036,3.7865676477092367,0.05907911070985216,20,5993,9.75,176.0469251154882,481.8011966668387,False
41,4.842672756457731,0.05706088619700351,nan,nan,20,6274,10.2,195.05481425731486,597.5604993489216,False
42,591661.3243247815,0.04880151750301776,nan,nan,20,5799,9.55,12218.33503872494,306083.21440274967,False
43,5318.706736954291,0.04606963661243728,nan,nan,20,6577,10.65,13834.982817610799,50018.50309652118,False
44,14.915374386592404,0.040067546822229044,nan,nan,20,6514,10.6,15645.254703587412,45270.09281572777,False
45,960915.377136011,0.04512942779291553,nan,nan,20,5872,9.55,37033.67060342525,974815.7315721186,False
46,nan,0.03435639028859368,nan,nan,20,6549,10.75,nan,nan,False
47,nan,0.03315963998105163,nan,nan,20,6333,10.4,nan,nan,False
48,nan,0.03265433058622298,nan,nan,20,6431,10.45,nan,nan,False
49,nan,0.03324979114452799,nan,nan,20,5985,9.85,nan,nan,False
50,nan,0.031053952321204517,nan,0.029454914795169845,20,6376,10.4,nan,nan,False
51,nan,0.03198478561549101,nan,nan,20,5784,9.55,nan,nan,False
52,nan,0.03298804780876494,nan,nan,20,6275,10.3,nan,nan,False
53,nan,0.032134996331621424,nan,nan,20,6815,11.15,nan,nan,False
54,nan,0.03293564106872794,nan,nan,20,5951,9.85,nan,nan,False
55,nan,0.030992034757422158,nan,nan,20,6905,11.25,nan,nan,False
56,nan,0.031081888822474597,nan,nan,20,6692,10.9,nan,nan,False
57,nan,0.02994296577946768,nan,nan,20,6312,10.2,nan,nan,False
58,nan,0.03206948388174378,nan,nan,20,5987,9.8,nan,nan,False
59,nan,0.03231792175661048,nan,nan,20,6467,10.55,nan,nan,False
60,nan,0.03214173722169959,nan,0.029454914795169845,20,6378,10.4,nan,nan,False
61,nan,0.03289473684210526,nan,nan,20,6384,10.3,nan,nan,False
62,nan,0.02996941896024465,nan,nan,20,6540,10.65,nan,nan,False
63,nan,0.03324725629438347,nan,nan,20,6196,10.15,nan,nan,False
64,nan,0.03125,nan,nan,20,6464,10.55,nan,nan,False
65,nan,0.030285035629453682,nan,nan,20,6736,11.0,nan,nan,False
66,nan,0.034134447927551374,nan,nan,20,5742,9.45,nan,nan,False
67,nan,0.030491599253266957,nan,nan,20,6428,10.5,nan,nan,False
68,nan,0.03168,nan,nan,20,6250,10.3,nan,nan,False
69,nan,0.031067961165048542,nan,nan,20,6180,10.15,nan,nan,False
70,nan,0.03160270880361174,nan,0.029454914795169845,20,6645,10.8,nan,nan,False
71,nan,0.03204830469112866,nan,nan,20,6459,10.5,nan,nan,False
72,nan,0.03328025477707006,nan,nan,20,6280,10.3,nan,nan,False
73,nan,0.032327919566898684,nan,nan,20,6465,10.6,nan,nan,False
74,nan,0.03185840707964602,nan,nan,20,6215,10.15,nan,nan,False
75,nan,0.03469879518072289,nan,nan,20,6225,10.25,nan,nan,False
76,nan,0.0330115228900654,nan,nan,20,6422,10.5,nan,nan,False
77,nan,0.0321417843196155,nan,nan,20,6658,10.9,nan,nan,False
78,nan,0.031470678538532394,nan,nan,20,6514,10.55,nan,nan,False
79,nan,0.03479424556707929,nan,nan,20,5978,9.8,nan,nan,False
80,nan,0.034512215957628566,nan,0.029454914795169845,20,5853,9.55,nan,nan,False
81,nan,0.03429830081812461,nan,nan,20,6356,10.4,nan,nan,False
82,nan,0.031682853048877566,nan,nan,20,6281,10.25,nan,nan,False
83,nan,0.03274637009576769,nan,nan,20,6474,10.6,nan,nan,False
84,nan,0.033684546615581096,nan,nan,20,6264,10.3,nan,nan,False
85,nan,0.03202124336144955,nan,nan,20,6402,10.45,nan,nan,False
86,nan,0.028628907458991024,nan,nan,20,6462,10.65,nan,nan,False
87,nan,0.03170577045022194,nan,nan,20,6308,10.4,nan,nan,False
88,nan,0.029953917050691243,nan,nan,20,6944,11.2,nan,nan,False
89,nan,0.0345830639948287,nan,nan,20,6188,10.2,nan,nan,False
90,nan,0.03305915849414742,nan,0.029454914795169845,20,6322,10.4,nan,nan,False
91,nan,0.029642685467072584,nan,nan,20,6241,10.25,nan,nan,False
92,nan,0.03414474759026303,nan,nan,20,6121,9.9,nan,nan,False
93,nan,0.028472549944942582,nan,nan,20,6357,10.3,nan,nan,False
94,nan,0.03279987323720488,nan,nan,20,6311,10.4,nan,nan,False
95,nan,0.03433038749150238,nan,nan,20,5884,9.7,nan,nan,False
96,nan,0.031295370221003385,nan,nan,20,6199,10.15,nan,nan,False
97,nan,0.03100132625994695,nan,nan,20,6032,9.9,nan,nan,False
98,nan,0.03095925569457812,nan,nan,20,6234,10.25,nan,nan,False
99,nan,0.03176981867226135,nan,nan,20,6673,10.75,nan,nan,False
100,nan,0.03489483747609943,nan,0.029454914795169845,20,6276,10.4,nan,nan,False
101,nan,0.03013530135301353,nan,nan,20,6504,10.55,nan,nan,False
102,nan,0.03202328966521106,nan,nan,20,6183,10.15,nan,nan,False
103,nan,0.03001819284414797,nan,nan,20,6596,10.75,nan,nan,False
104,nan,0.033438485804416405,nan,nan,20,6340,10.4,nan,nan,False
105,nan,0.031525851197982346,nan,nan,20,6344,10.4,nan,nan,False
106,nan,0.033419857235561325,nan,nan,20,6164,10.0,nan,nan,False
107,nan,0.03147017379051198,nan,nan,20,6387,10.5,nan,nan,False
108,nan,0.030823425803610745,nan,nan,20,6813,11.0,nan,nan,False
109,nan,0.031439688715953304,nan,nan,20,6425,10.4,nan,nan,False
110,nan,0.030226700251889168,nan,0.029454914795169845,20,6352,10.35,nan,nan,False
111,nan,0.03089797232056646,nan,nan,20,6214,10.15,nan,nan,False
112,nan,0.03400503778337532,nan,nan,20,6352,10.35,nan,nan,False
113,nan,0.03167722574191397,nan,nan,20,5998,9.9,nan,nan,False
114,nan,0.0314361350099272,nan,nan,20,6044,9.8,nan,nan,False
115,nan,0.029511583296443853,nan,nan,20,6777,10.95,nan,nan,False
116,nan,0.03258303163859594,nan,nan,20,6353,10.4,nan,nan,False
117,nan,0.03251656649714902,nan,nan,20,6489,10.7,nan,nan,False
118,nan,0.031467425679949396,nan,nan,20,6324,10.35,nan,nan,False
119,nan,0.031746031746031744,nan,nan,20,6048,10.0,nan,nan,False
120,nan,0.03259141494435612,nan,0.029454914795169845,20,6290,10.3,nan,nan,False
121,nan,0.03339882121807466,nan,nan,20,6108,9.9,nan,nan,False
122,nan,0.03154133001864512,nan,nan,20,6436,10.5,nan,nan,False
123,nan,0.0321853878339234,nan,nan,20,6214,10.1,nan,nan,False
124,nan,0.03132678132678133,nan,nan,20,6512,10.6,nan,nan,False
125,nan,0.03230567399147261,nan,nan,20,6098,10.0,nan,nan,False
126,nan,0.03157398680490104,nan,nan,20,6366,10.4,nan,nan,False
127,nan,0.0318964156008211,nan,nan,20,6333,10.4,nan,nan,False
128,nan,0.03310710147326602,nan,nan,20,6041,9.85,nan,nan,False
129,nan,0.031001832620647526,nan,nan,20,6548,10.8,nan,nan,False
130,nan,0.0321024868123587,nan,0.029454914795169845,20,6635,10.8,nan,nan,False
131,nan,0.03263157894736842,nan,nan,20,6650,10.9,nan,nan,False
132,nan,0.03268725361366623,nan,nan,20,6088,10.0,nan,nan,False
133,nan,0.03067102600031138,nan,nan,20,6423,10.5,nan,nan,False
134,nan,0.03296703296703297,nan,nan,20,5824,9.6,nan,nan,False
135,nan,0.03189817724701446,nan,nan,20,6364,10.35,nan,nan,False
